target_mode_name,h_core,w_core,wavelength_shg,overlap
TM04,350.0,300.0,228.05081118182244,0.009896471123516213
TM04,350.0,325.0,227.43161339390483,0.00949948483965861
TM04,350.0,375.0,226.1200592567693,0.008024167835834496
TM04,350.0,400.0,225.7679836652026,0.008315450858459077
TM04,350.0,425.0,225.4133521569476,0.00826010435784357
TM04,350.0,450.0,225.115726412845,0.008104205446073294
TM04,350.0,500.0,224.63954714393358,0.007826076688263316
TM04,350.0,525.0,224.33451318562265,0.00674611385724685
TM04,350.0,575.0,224.04224673582056,0.0075809685578949884
TM04,350.0,600.0,223.913666948842,0.007429332163062048
TM04,350.0,625.0,223.72807366573343,0.006980224838274856
TM04,350.0,700.0,223.44508464992785,0.007320223621876709
TM04,350.0,725.0,223.36433547698192,0.00734543518227251
TM04,350.0,750.0,223.29400980693177,0.007265265690847473
TM04,365.0,325.0,231.01108407597775,8.089101874597055e-15
TM04,365.0,375.0,229.61940025062052,0.006605532457606604
TM04,365.0,400.0,229.35843483007923,0.00727601228328668
TM04,365.0,425.0,228.97529029665995,0.007355651661135145
TM04,365.0,450.0,228.65133928296518,0.0074531265500865605
TM04,365.0,475.0,228.35118489363106,0.007378065072180805
TM04,365.0,500.0,228.0999641957478,0.007261645730751605
TM04,365.0,550.0,227.56263242863676,0.00514629557863717
TM04,365.0,575.0,227.4644319402145,0.006783678209762728
TM04,365.0,600.0,227.31492403069018,0.00687313771134652
TM04,365.0,675.0,226.9327349798595,0.005437432129328766
TM04,365.0,700.0,226.80519071137618,0.006732577670665979
TM04,365.0,750.0,226.62689390377028,0.006660705713011217
TM40,350.0,375.0,232.8520003664207,0.00024953831346893874
TM40,350.0,400.0,238.02831939430973,0.0016161330631027523
TM40,350.0,425.0,244.05711367596393,0.0022048551953747463
TM40,350.0,450.0,250.3271329703192,0.0022849684423308287
TM40,365.0,350.0,227.50688528937508,0.00013483954893107102
TM40,365.0,375.0,232.6166831166979,5.276732628338806e-05
TM40,365.0,400.0,237.72112957915064,0.0008816242081545946
TM40,365.0,425.0,243.4535665885834,0.0015893453607989402
TM40,365.0,450.0,249.5208366655531,0.002384260890888207
