target_mode_name,target_mode_idx,h_core,w_core,wavelength_shg,n_eff,dn_dWL_fund,dn_dWL_target,dn_dwidth_fund,dn_dwidth_target,dn_dheight_fund,dn_dheight_target,dWL_dwidth,dWL_dheight
TM04,26,350.0,325.0,227.43161339390483,2.0190240269769824,-0.0019381256934481047,-0.011396857187709981,0.00042328463952983063,0.0002332341749414546,0.00031751025141231183,0.0025787243697647177,-0.02009259536584476,0.23906103262622133
TM04,30,350.0,375.0,226.1200592567693,2.039190941073078,-0.0018534807319341606,-0.011599865508777849,0.0002944423367498228,0.00016396196428911659,0.00032607608124339825,0.002568310998641898,-0.013387566307736267,0.23005811577702098
TM04,44,365.0,550.0,227.56263242863676,2.073456426912398,-0.001604673273555529,-0.011280703329518455,0.00010878654134649501,,0.0003111073343151638,,,
TM04,44,350.0,525.0,224.33451318562265,2.070841321830275,-0.0016901615156680438,-0.01191361848318897,0.000119660098396146,0.000106142424607647,0.0003364689525464204,,-0.0013222214199603442,
TM04,47,350.0,575.0,224.04224673582056,2.0766273922738803,-0.0016557550486274461,-0.01180250170148943,9.377640533632103e-05,3.747663609172669e-05,0.0003378187594030635,0.0025740393343197444,-0.0055485537552782465,0.22038793826452086
TM04,45,365.0,575.0,227.4644319402145,2.076175205751649,-0.001587744190635149,-0.011023670417847346,9.651879576724198e-05,4.793208078077704e-05,0.00031182575171380124,0.0023934103993386467,-0.00514911984436102,0.22060204769530506
TM04,49,350.0,600.0,223.913666948842,2.079047382716848,-0.0016411778372180219,-0.01184190844183302,8.329982968362515e-05,5.3371068497298777e-05,0.00033828086620006913,,-0.0029339821181814225,
TM04,47,365.0,600.0,227.31492403069018,2.078686042845458,-0.00157313397520386,-0.010973837516020265,8.579716867549437e-05,3.415325122833046e-05,0.00031228919509147525,0.0023816295300291834,-0.005493622602067386,0.22012611353532757
TM04,53,350.0,650.0,223.91392987388204,2.082777600822391,-0.0016135984647950303,-0.01311558656080831,6.681216737796092e-05,0.0005743822991902903,0.0003394874555434857,0.0014727985697663647,0.04412890428814293,0.09853175857621498
TM04,53,365.0,675.0,226.9327349798595,2.084752500620806,-0.001537237841290207,-0.011095552586894689,6.19698199860519e-05,,0.00031326040573653735,,,
TM04,56,365.0,700.0,226.80519071137618,2.086419140430484,-0.0015276027427763822,-0.011024575296350486,5.5949396865395685e-05,2.0050579006980483e-05,0.0003134017145489221,0.0023777741282719144,-0.0037800275462420907,0.21737163102004367
TM04,58,350.0,700.0,223.44508464992785,2.0865489224353584,-0.0015961698618124297,-0.011875602781043324,5.433096917331071e-05,2.1695115251363362e-05,0.0003393052829170351,,-0.0031748690981670564,
TM04,60,350.0,725.0,223.36433547698192,2.087970173296012,-0.0015871746183261687,-0.011882534630417918,4.912635668850029e-05,1.64609361351431e-05,0.000339479889376193,0.002565741779006858,-0.003172829363421205,0.21623934345335694
TM04,62,350.0,750.0,223.29400980693177,2.0892548893969702,-0.001578898480605713,-0.011945698170082904,4.4752365544775684e-05,2.0290435906034078e-05,0.0003396373974219102,,-0.0023596413909271986,
TM04,58,365.0,750.0,226.62689390377028,2.089229239019526,-0.0015102708785046672,-0.011042310854577981,4.6098368937075306e-05,1.4441555510824599e-05,0.00031372886623843855,0.002376488154934986,-0.0033210953275178783,0.2164027106342763
TM04,30,365.0,375.0,229.61940025062052,2.037727721117906,-0.0017879998291495107,-0.01085411417704826,0.00030293042931481826,0.00031501278023648993,0.0002994347785981066,0.0022666258300357623,0.0013326934183741012,0.21698281931482494
TM04,33,350.0,400.0,225.7679836652026,2.0465943214733113,-0.0018167052208092128,-0.011739866074663489,0.0002484508841866351,,0.00032912406015883633,,,
TM04,30,365.0,400.0,229.35843483007923,2.045149915712592,-0.0017498157312698308,-0.010789647037349989,0.00025600944693624503,0.00013766543042703638,0.00030276669857705053,,-0.013091396565067635,
TM04,34,350.0,425.0,225.4133521569476,2.052965744212523,-0.001784864297165266,-0.011643586667499642,0.0002111645352376623,8.671973508613817e-05,0.0003314646063425908,0.0025986980073545497,-0.012622812112651408,0.2299723347352018
TM04,34,365.0,425.0,228.97529029665995,2.0517214888414936,-0.0017176922808421979,-0.010919146116855093,0.0002178477569060089,,0.00030514881868426436,,,
TM04,36,350.0,450.0,225.115726412845,2.058394728729089,-0.0017565865741286382,-0.011674983122536502,0.00018169244658832183,,0.00033333490450990764,,,
TM04,34,365.0,450.0,228.65133928296518,2.057325503520776,-0.001689158144778251,-0.010837962236230363,0.00018729717374665888,7.387531324805074e-05,0.00030710353448681893,0.0024077582649941753,-0.01239745210027835,0.229609762052948
TM04,37,350.0,475.0,224.8978656138142,2.0630052391792515,-0.001730999639408725,-0.011926169131147859,0.00015767903446799457,,0.00033474689714658724,,,
TM04,37,365.0,475.0,228.35118489363106,2.062185497967321,-0.0016639758648436598,-0.010868828688008382,0.00016227957611238963,5.7993168488890136e-05,0.0003085073821050166,0.002405162061009225,-0.01132950299444818,0.227777099665061
TM04,38,365.0,500.0,228.0999641957478,2.0663813362864616,-0.00164144217230063,-0.010905521855491776,0.00014119477612144492,4.795849672336594e-05,0.00030962270603946963,0.0023995404955082567,-0.010064278653307352,0.2255936758899816
TM04,40,350.0,500.0,224.63954714393358,2.0671208567885517,-0.0017089756671486583,-0.012114385546628283,0.00013706151432248958,7.815286934538257e-05,0.0003357710424064742,0.0025295507865675136,-0.0056613478622576895,0.2108306899555552
TM04,24,365.0,325.0,231.01108407597775,2.016973102865008,-0.0018732589321375647,-0.01109753008877445,0.0004361465360395389,0.0026478975537589378,0.00029047877644572395,0.000329856437181153,0.23977515189674783,0.004268918385719475
TM04,24,350.0,300.0,228.05081118182244,2.006086624533099,-0.0019908912046915444,-0.011365306699253995,0.0005179293102687499,0.00027066735085559126,0.00031037482021938344,0.0026052086825884445,-0.026376253490852933,0.24479754110537985
TM04,23,365.0,300.0,231.62183239790775,2.003750980898338,-0.0019267172889941768,-0.011158998541634359,0.0005327844481667565,0.00040069327667158205,0.0002832027742853516,0.002075112125317191,-0.014307533304122424,0.19409172034478503
TM40,25,350.0,400.0,238.02831939430973,2.025065984798083,-0.0016999380525920748,-0.009494742299713218,0.00026692245769917023,,0.0003527178518762941,,,
TM40,25,365.0,400.0,237.72112957915064,2.030844172139562,-0.001673490194565068,-0.009561882495208309,0.00026872057619016233,0.0019354196878463182,0.0003176942544584005,0.0001443082345827129,0.21128501830724733,-0.02197989314775195
TM40,25,350.0,375.0,232.8520003664207,2.0269507044492308,-0.001785891270644174,-0.010851268237369673,0.0003060391346009439,0.002151924294307994,0.00033891255353073467,0.0001937977605443564,0.20361923905452345,-0.01600758506998911
TM40,25,365.0,375.0,232.6166831166979,2.032413795708154,-0.0017591049455775946,-0.010894894695663999,0.0003081342782535579,0.0021295835133429363,0.00030472740899192277,0.00017933330657378123,0.1993751262798218,-0.013725589779138205
TM40,27,350.0,350.0,227.13055506002937,2.029258347894637,-0.0018889338206612273,-0.01156944517245344,0.000351836988892984,,0.0003233201395721252,,,
TM40,28,365.0,350.0,227.50688528937508,2.0333672517774137,-0.0018561148126132754,-0.012379064918665266,0.0003560555633789431,0.0025051103268129093,0.00029090983324042696,,0.20422550157279523,
TM40,23,350.0,425.0,244.05711367596393,2.0213469684456538,-0.0016172769989437213,-0.00834835031957642,0.00023583000774887175,0.0018831138561412608,0.0003675420845389965,7.422091449003077e-05,0.24472825802431608,-0.043577176488309964
TM40,24,365.0,425.0,243.4535665885834,2.027800747030804,-0.00159281766243298,-0.008393962860028486,0.00023721158201381876,,0.0003311809882045491,,,
TM40,21,350.0,450.0,250.3271329703192,2.017030189070896,-0.0015426058088800296,-0.007538802013991181,0.00021127406705501173,,0.0003822594883545527,4.550603648652007e-05,,-0.05616117957931135
TM40,23,365.0,450.0,249.5208366655531,2.023972529403175,-0.0015190901125974765,-0.0075769834248467305,0.0002120317434401997,0.0017189184419635684,0.0003448101387875102,4.865674671710174e-05,0.24874764556787352,-0.04888719176872541
TM04,51,350.0,625.0,223.72807366573343,2.08131909075966,-0.001628828018475962,-0.011874416320201926,7.418998403472266e-05,6.031012341995989e-05,0.0003385412299297119,,-0.0013547158255836397,
