target_mode_name,target_mode_idx,h_core,w_core,wavelength_shg,n_eff,dn_dWL_fund,dn_dWL_target,dn_dwidth_fund,dn_dwidth_target,dn_dheight_fund,dn_dheight_target,dWL_dwidth,dWL_dheight
TM04,30,350.0,400.0,228.82888166466256,2.0500138278702624,-0.0015367719795563739,-0.01342703665086855,0.0002535103782812964,0.00011157705176882971,0.0003384093699204005,0.0028265978809270285,-0.01193693584087421,0.20926266822385534
TM04,30,335.0,400.0,225.7870651654479,2.0497067283071715,-0.0016080358200503948,-0.01468052192771454,0.00024684629497606636,0.00010487653969710742,0.0003738411629480076,0.0031107755266438276,-0.010860195536618303,0.20936601815099334
TM04,30,365.0,400.0,232.09006098990722,2.0502127912317363,-0.0014638150261072334,-0.012274888135886198,0.0002606625729856038,0.00014866513470006558,0.0003110873200814268,0.002562197791999754,-0.010359511692158745,0.20822266661781474
TM04,30,335.0,375.0,226.07276447709134,2.042527756053403,-0.0016448942956736872,-0.014596150678133822,0.0002926334116719609,0.00013812629227887284,0.0003707091551039543,0.003104984002256783,-0.011929894276692474,0.21112043236638053
TM04,29,350.0,375.0,229.09098437362522,2.0427153191838627,-0.0015745072514202491,-0.01316644324520868,0.0003001888189083868,0.00010498695794431967,0.0003351628260168216,0.0028384847918044185,-0.0168394529670166,0.21595374294069675
TM04,28,365.0,375.0,232.4170787986333,2.0426443395590073,-0.001501347916452288,-0.01227091179358644,0.0003084955325150407,0.00021105189217855979,0.0003078674837424078,0.0025478473456266746,-0.009048058161702574,0.20799169654772864
TM04,28,335.0,350.0,226.4054839161908,2.0340001295264356,-0.0016869944641800493,-0.014524034538999477,0.0003481525473199909,0.0002719974864519692,0.00036676727573685674,0.0031847228585274666,-0.005932447076908647,0.21951754971289586
TM04,28,350.0,350.0,229.35470732366224,2.0341094927825583,-0.0016180090484941467,-0.013523070900612546,0.0003570946430872191,0.0005328527754540957,0.00033095988765095006,0.002661812643688366,0.014763311148660854,0.19578669854811895
TM04,25,365.0,350.0,232.27483190845481,2.034453770645956,-0.001550269320440214,-0.011709396629037493,0.0003665142913278796,0.001670584457886326,0.00030267696200949603,0.0005424681665934017,0.1283643886866997,0.023603523934676907
TM04,33,335.0,425.0,225.59855024939927,2.055706158215276,-0.001574847814460652,-0.015086385952049319,0.00020997585448476742,0.0016348897173489529,0.0003764632003608881,0.0011061916260289185,0.10545904162458904,0.05400779824155987
TM04,31,350.0,425.0,228.5413519057095,2.056299125334367,-0.0015043468798610733,-0.01348991924021756,0.00021561490760126922,8.867894296091806e-05,0.0003408944075150355,0.0028270219861288304,-0.010590730323418255,0.20742668801007094
TM04,30,365.0,425.0,231.78695776572513,2.056668827639924,-0.0014310961987693497,-0.012322981137613733,0.0002219560938954146,9.406416448340949e-05,0.0003136132803716496,0.0026056726299129363,-0.011741946424341707,0.21043734508863365
TM04,34,350.0,450.0,228.2815780478854,2.061689931980776,-0.0014758461290879231,-0.013552071077557333,0.00018561538540815548,7.698319736175741e-05,0.0003428472736432209,0.0028337623793531995,-0.008995541943773295,0.20626604061608572
TM04,31,365.0,450.0,231.6572607174248,2.0620051992801742,-0.0014005917759438472,-0.011361402684457678,0.0001910924358059063,0.0017317650593146716,0.0003159468810857824,3.512051221372658e-05,0.15467341340572002,-0.028193123175546314
TM04,38,335.0,475.0,225.1158399478104,2.0655464859577726,-0.001522024924233387,-0.014996137540934287,0.00015710955415180195,5.711030229078595e-05,0.0003795167482631534,0.003107415057966678,-0.007421583499092094,0.20245476546799435
TM04,38,350.0,475.0,228.05600901476515,2.0663399553869026,-0.001450532833921607,-0.013070208891417264,0.00016111465020585136,5.978265074437772e-05,0.0003442425768221735,0.002824228685711061,-0.00872072499784588,0.21342988364026638
TM04,34,365.0,475.0,231.26117572699656,2.0670030751823045,-0.0013770213177899256,-0.012422803698010595,0.00016549328634716254,6.397373417517116e-05,0.00031714332547871926,0.002590233546999432,-0.00919079777941119,0.2057880685383647
TM04,39,350.0,500.0,227.86290018523755,2.070372112324226,-0.0014280525279884461,-0.013663334050348775,0.00014014176510919186,4.987411843564438e-05,0.00034539714476546914,0.0028220591233732327,-0.007377651794000879,0.20241969701159654
TM04,37,365.0,500.0,231.04357837425718,2.0711589246839304,-0.0013544578719130763,-0.012228311064685107,0.0001440482656992703,5.2584196324012565e-05,0.00031831271185440714,0.00260024211397627,-0.008411376147330637,0.2098547186234486
TM04,42,335.0,525.0,224.79467832148464,2.072880088724901,-0.0014795798425103535,-0.015029155137109576,0.00011930729632307902,5.671414700541e-05,0.0003816415654632088,0.0030562237663297686,-0.004619565407531132,0.19739232726597947
TM04,40,350.0,525.0,227.6979092624861,2.0738854716480253,-0.0014079678032396718,-0.013705901500011301,0.00012249451582415637,4.7330282173918545e-05,0.0003463818538608887,0.0028199933695531422,-0.006111940062741551,0.20114041729966467
TM04,39,365.0,525.0,230.85062885326505,2.074788021812796,-0.0013343427883781881,-0.012506604802294081,0.0001260425017655553,5.0401572035330136e-05,0.0003192810998050355,0.0026131723854564636,-0.006770422107538178,0.20532021919949728
TM04,42,350.0,550.0,227.55462584676795,2.07696666433688,-0.0013899604815244182,-0.013744489212749131,0.0001081302347560431,4.4732451484641446e-05,0.0003472000066485403,0.0027984418770461428,-0.005131542015938717,0.19840836698225145
TM04,40,365.0,550.0,230.68101643086968,2.077972890431951,-0.0013163209090062806,-0.012539683961151257,0.0001111519563723462,4.3095243311341845e-05,0.0003201136596064913,0.0025990550273491397,-0.006063843140848728,0.20305334124490465
