target_mode_name,h_core,w_core,wavelength_shg,overlap
TM04,335.0,350.0,226.4054839161908,0.009921769344259534
TM04,335.0,375.0,226.07276447709134,0.009997944704718981
TM04,335.0,400.0,225.7870651654479,0.009903141173658838
TM04,335.0,450.0,225.3090709691921,0.009667883866292947
TM04,335.0,475.0,225.1158399478104,0.010085929862630124
TM04,335.0,500.0,224.9415372334792,0.009372842246126011
TM04,335.0,525.0,224.79467832148464,0.009370148107903828
TM04,335.0,550.0,224.66482376466703,0.009038292288203907
TM04,335.0,562.5,224.6451390936346,0.008209800692425542
TM04,335.0,600.0,224.37681250231245,0.008467916933591942
TM04,335.0,612.5,224.34161609823968,0.008677724740639024
TM04,335.0,625.0,224.30270708224174,0.008774879582183008
TM04,335.0,637.5,224.21599478585858,0.0054591304653963755
TM04,335.0,650.0,224.21271271904072,0.008793219973049925
TM04,335.0,662.5,224.17547911690784,0.008841107154595164
TM04,335.0,687.5,224.10306999895528,0.008858441507348333
TM04,335.0,700.0,224.06903650601146,0.008846443544719697
TM04,335.0,712.5,224.03880867814044,0.008808825924639753
TM04,335.0,725.0,224.00182573882074,0.008748453501336177
TM04,335.0,737.5,223.97561307242313,0.008803871962290514
TM04,335.0,762.5,223.92417185417324,0.008446459704750168
TM04,335.0,775.0,223.8958248177873,0.008674404334544788
TM04,335.0,787.5,223.8770307501192,0.00871403234249951
TM04,335.0,800.0,223.8589751196265,0.008622174513443888
TM04,335.0,812.5,223.88449029457956,0.005269095194603377
TM04,335.0,825.0,223.80133538982645,0.008202181647668526
TM04,335.0,837.5,223.78149689126917,0.008611226752550653
TM04,335.0,850.0,223.7648222177325,0.008663007065465326
TM04,335.0,875.0,223.730924383416,0.008674706708175274
TM04,335.0,887.5,223.71536724875693,0.008656216016701532
TM04,335.0,925.0,223.65515115578935,0.00818060352323874
TM04,335.0,937.5,223.65001406478186,0.008569590615344186
TM04,335.0,962.5,223.62247675118275,0.00859219688181504
TM04,335.0,1000.0,223.58589471540319,0.00860445525251536
TM04,350.0,350.0,229.35470732366224,0.0072101001638823535
TM04,350.0,375.0,229.09098437362522,0.006462269721248451
TM04,350.0,400.0,228.82888166466256,0.008640385991627834
TM04,350.0,425.0,228.5413519057095,0.008569692577351786
TM04,350.0,450.0,228.2815780478854,0.0084151549628761
TM04,350.0,475.0,228.05600901476515,0.00838384763618994
TM04,350.0,500.0,227.86290018523755,0.007942712710973533
TM04,350.0,525.0,227.6979092624861,0.008151806519061274
TM04,350.0,550.0,227.55462584676795,0.008142387167133976
TM04,350.0,562.5,227.50532512877592,0.007803298120773862
TM04,350.0,575.0,227.42980537955714,0.00781615432067924
TM04,350.0,587.5,227.4238063642422,0.006687499563589421
TM04,350.0,625.0,227.12053111559626,0.006135200611465653
TM04,350.0,637.5,227.1154641118763,0.007746052723288719
TM04,350.0,650.0,227.064423325191,0.007389375876488466
TM04,350.0,662.5,227.03021208510998,0.007667957064177452
TM04,350.0,675.0,226.95274427868122,0.006314411702132126
TM04,350.0,687.5,226.94302317509775,0.0076568485232058284
TM04,350.0,700.0,226.91056102623423,0.007483562250066307
TM04,350.0,712.5,226.87215575862967,0.007721759948745189
TM04,350.0,725.0,226.838477637792,0.007716570302086809
TM04,350.0,737.5,226.8060702397964,0.007713272893933992
