,,,,,,,,,,
450,2.8305,2.5764,2.4709,2.3897,2.3226,2.2641,2.2139,2.1697,2.1301,2.0943
500,2.8448,2.5932,2.4896,2.4104,2.3445,2.2886,2.2404,2.1983,2.1609,2.1271
550,2.8556,2.6057,2.5036,2.4258,2.3615,2.3071,2.2605,2.2199,2.184,2.1518
600,2.8639,2.6153,2.5144,2.4377,2.3745,2.3213,2.2759,2.2365,2.2018,2.1709
650,2.8703,2.6229,2.5228,2.4471,2.3848,2.3325,2.288,2.2496,2.2159,2.186
700,2.8703,2.6229,2.5228,2.4471,2.3848,2.3325,2.288,2.2496,2.2159,2.186
800,2.877766667,2.631766667,2.5326,2.458066667,2.396816667,2.345566667,2.302116667,2.264883333,2.23235,2.203616667
,,,,,,,,,,
SHG,Wavelength,,,,,,,,,
TM_40,210,220,230,240,250,260,270,280,290,300
150,1.863731325,1.50395978,1.31192985,,,,,,,
200,2.085015,1.729316,1.54327,,,,,,,
300,2.4123,2.087,1.9248,,,,,,,
350,2.5437,2.2391,2.0917,1.9696,1.8601,,,,,
400,2.6288,2.3384,2.203,2.0918,1.9933,1.9048,,,,
450,2.6869,2.4066,2.2795,2.1765,2.0863,2.0056,1.9322,1.8647,,
500,2.7285,2.4556,2.3343,2.2374,2.1534,2.0789,2.0115,1.9499,1.8926,1.8387
550,2.7594,2.4918,2.3753,2.2818,2.2032,2.1333,2.0708,2.0138,1.9613,1.9121
600,2.7829,2.5195,2.4063,2.3173,2.2415,2.1749,2.1161,2.063,2.0145,1.9687
650,2.8012,2.541,2.4306,2.3443,2.2711,2.2077,2.1527,2.1013,2.0556,2.0133
700,2.8158,2.5582,2.4499,2.3657,2.2948,2.2336,2.18,2.1322,2.0878,2.0486
800,2.845,2.5926,2.4885,2.4085,2.3422,2.2854,2.2346,2.194,2.1522,2.1192
,,,,,,,,,,
SHG,,Wavelength,,,,,,,,
TM_04,200,210,220,230,240,250,260,270,280,290
100,2.3904,2.2684,1.974,1.8651,,,,,,
150,2.4882,2.3503,2.054,1.9026,,,,,,
