TM_01,2.8335,2.8335,2.5813,2.4771,2.3972,2.3309,2.2745,2.2277,2.1892,2.1522,2.1189,,,,,,,,,,,TM_01,2.8382,2.5896,2.4862,2.4072,2.3419,2.2868,2.2394,2.2089,2.1833,2.1518,,,,,,,,,,,TM_01,2.8414,2.5932,2.4902,2.4117,2.3468,2.292,2.2451,2.2162,2.1914,2.1696,,,,,,,,,,,TM_01,2.8436,2.5958,2.4931,2.4148,2.3503,2.2958,2.2496,2.2214,2.1969,2.1755,,,,,,,,,,,,2.8453,2.5977,2.4952,2.4171,2.3528,2.2985,2.253,2.2251,2.2009,2.1797,,,,,,,,,,,TM_20,2.8556,2.6057,2.5036,2.4258,2.3615,2.3071,2.2605,2.2199,2.184,2.1518,,,,,,,,,,,TM_20,2.8639,2.6153,2.5144,2.4377,2.3745,2.3213,2.2759,2.2365,2.2018,2.1709,,,,,,,,,,,TM_20,2.8703,2.6229,2.5228,2.4471,2.3848,2.3325,2.288,2.2496,2.2159,2.186,,,,,,,,,,,TM_20,2.8755,2.6289,2.5296,2.4546,2.393,2.3415,2.2977,2.2601,2.2272,2.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_11,2.7761,2.7761,2.5174,2.4196,2.3547,2.3039,2.2624,2.226,2.1837,2.1461,2.1123,,,,,,,,,,,TM_11,2.7954,2.5396,2.4303,2.3628,2.3127,2.2721,2.238,2.1982,2.1617,2.129,,,,,,,,,,,TM_20,2.8106,2.5533,2.4452,2.3613,2.2909,2.2304,2.1776,2.1306,2.0885,2.0499,,,,,,,,,,,TM_20,2.8305,2.5764,2.4709,2.3897,2.3226,2.2641,2.2139,2.1697,2.1301,2.0943,,,,,,,,,,,TM_20,2.8448,2.5932,2.4896,2.4104,2.3445,2.2886,2.2404,2.1983,2.1609,2.1271,,,,,,,,,,,,2.8464,2.599,2.4967,2.4189,2.3547,2.3006,2.2556,,,,,,,,,,,,,,TM_01,2.8473,2.6001,2.4979,2.4202,2.3561,2.3022,2.2576,2.23,,,,,,,,,,,,,TM_01,2.848,2.601,2.4989,2.4213,2.3573,2.3034,2.2591,2.2316,2.208, ,,,,,,,,,,,TM_30,2.8495,2.6016,2.4996,2.4221,2.3582,2.3045,2.2603,2.2329,2.2094,2.1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_20,2.7384,2.7384,2.4699,2.3527,2.2601,2.1806,2.1113,2.0501,1.9956,1.9468,1.9031,,,,,,,,,,,TM_20,2.7819,2.5201,2.4083,2.3208,2.2467,2.1824,2.1259,2.0755,2.0297,1.9877,,,,,,,,,,,TM_11,2.8083, , ,2.3633,2.2936,2.2339,2.1819,2.1395,2.1088,2.081,,,,,,,,,,,TM_11,2.8172,2.5647,2.4582,2.3761, , , , ,2.1313,2.1049,,,,,,,,,,,,2.8236,2.5723,2.4666,2.3854,2.3256,2.286, , ,,,,,,,,,,,,,,2.8285,2.5779,2.4729,2.3924,2.3277,2.2883,2.2543,2.2142,2.1789,2.1473,,,,,,,,,,,TM_30,2.8322,2.5822,2.4778,2.3978,2.3314,2.2902,2.2561,2.2161,2.1809,2.1495,,,,,,,,,,,TM_30,2.8403,2.5874,2.4829,2.4027,2.3363,2.2916,2.2574,2.2176,2.1825,2.1529,,,,,,,,,,,TM_01,2.8486,2.5982,2.495,2.4161,2.3505,2.2948,2.2585,2.2188,2.1838,2.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_02,2.737,2.737,2.4778,2.3616,2.2909,2.2345,2.1806,2.1246,2.0747,2.0295,1.9954,,,,,,,,,,,TM_02,2.7419,2.5153,,, ,2.1974,2.1576,2.1112,2.0767,2.0467,,,,,,,,,,,TM_21,2.7523,2.5197,2.4318, , , , ,2.136,2.1002,2.0727,,,,,,,,,,,TM_21,2.7727,2.5227,2.4351,2.3718,2.3076,2.2491,2.1983,2.1603, , ,,,,,,,,,,,,2.7945,2.5337,2.4376,2.3745,2.3178,2.2602,2.2103,2.1754,2.1473,2.1221,,,,,,,,,,,,2.8139,2.5564,2.4482,2.3765,2.3254,2.2685,2.2194,2.1866,2.1594,2.1351,,,,,,,,,,,TM_11,2.8287,2.5738,2.4676,2.3857,2.3294,2.275,2.2264,2.1952,2.1686,2.1449,,,,,,,,,,,TM_11,2.8351,2.5856,2.4815,2.4018,2.3354,2.2802,2.232,2.2019,2.1759,2.151,,,,,,,,,,,TM_11,2.8374,2.5884,2.4847,2.4054,2.3397,2.2927,2.2469,2.2072,2.1816,2.1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_21,2.6783,2.6783, ,2.3614,2.2702,2.1987,2.148,2.1037,2.0642,2.0284,1.9879,,,,,,,,,,,TM_21,2.7229,2.4835,2.369,2.2992,2.2436,2.1872,2.146,2.1095,2.0683,2.029,,,,,,,,,,,TM_02,2.7452,2.4888,2.3828,2.3137,2.2587,2.213,2.1738, ,2.0947,2.0571,,,,,,,,,,,TM_02,2.7685,2.5123,2.3994,2.3287,2.2751,2.2309,2.1932,2.1536,2.1136,2.0789,,,,,,,,,,,,2.7874,2.5295,2.4228,2.3395,2.2869,2.2438,2.2071,2.1665,2.1275,2.0921,,,,,,,,,,,,2.7984,2.5423,2.4393,2.3641,2.2957,2.2533,2.2175,2.1763,2.138,2.1033,,,,,,,,,,,TM_21,2.8068,2.5522,2.4439,2.378,2.317,2.2607,2.2255,2.1839,2.1461,2.1121,,,,,,,,,,,TM_21,2.8134,2.5599,2.4526,2.3792,2.3307,2.2785,2.2317,2.19,2.1526,2.119,,,,,,,,,,,TM_21,2.8187,2.5661,2.4595,2.3801,2.3317,2.2842,2.2366,2.2049,2.1676,2.1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_12,2.6774,2.6774,2.4562, , ,2.1929,2.1259,2.067,2.0147,1.9679,1.9255,,,,,,,,,,,TM_12,2.6975,2.463,2.368,2.2919,2.2349, ,,,, ,,,,,,,,,,,TM_30,2.7323,2.4872,2.3739,2.3047,2.2497,2.2039,2.1648,2.1306, , ,,,,,,,,,,,TM_30,2.7475,2.5033,2.3959,2.3104,2.2538,2.2085,2.1698,2.1359,2.1059,2.0772,,,,,,,,,,,,2.7492,2.5249,2.4185,2.336,2.2626,2.2118,2.1733,2.1398,2.11,2.0832,,,,,,,,,,,TM_40,2.7594,2.4918,2.3753,2.2818,2.2032,2.1333,2.0708,2.0138,1.9613,1.9121,,,,,,,,,,,TM_40,2.7829,2.5195,2.4063,2.3173,2.2415,2.1749,2.1161,2.063,2.0145,1.9687,,,,,,,,,,,TM_40,2.8012,2.541,2.4306,2.3443,2.2711,2.2077,2.1527,2.1013,2.0556,2.0133,,,,,,,,,,,TM_40,2.8158,2.5582,2.4499,2.3657,2.2948,2.2336,2.18,2.1322,2.0878,2.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE_00,2.6562,2.6562,2.4311,2.3327,2.2585, , ,,,,,,,,,,,,,,,TM_30,2.68,2.4587,2.363,2.2772,2.2005,2.1342,2.0762,2.0258,1.9834,1.9463,,,,,,,,,,,TM_12,2.7108,2.4758,2.3729,2.2823,2.2059,2.1405,2.0917,2.0512,2.0144,1.9805,,,,,,,,,,,TM_12,2.7202,2.49,2.3888,2.3086,2.2351,2.1697,2.1122,2.0727,2.0376,2.0053,,,,,,,,,,,,2.7359,2.4967,2.4059,2.3316,2.2585,2.1986,2.1424,2.0922,2.0561,2.024,,,,,,,,,,,,2.7557,2.5032,2.4132,2.3469,2.276,2.2143,2.1757,2.1315,2.0886,2.0538,,,,,,,,,,,,2.7709, ,2.4187,2.3535,2.2895,2.2291,2.178,2.1448,2.1154,2.084,,,,,,,,,,,,2.7827,2.5286, ,2.3583,2.3002,2.2407,2.189,2.1517,2.1216,2.0943,,,,,,,,,,,TM_31,2.7921,2.5347,2.4426, ,2.3087,2.2501,2.1991,2.1639,2.1348,2.1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE_01,2.6098,2.6098,2.4081,2.2833,2.1919,2.1255,2.068,2.0166,1.9693,1.9243,1.8868,,,,,,,,,,,TE_00,2.6621,2.4539,2.3345,2.2392,2.1633,2.1093,2.0614,2.0172,1.9736,1.9317,,,,,,,,,,,TM_31,2.6722,2.4675,2.3718,2.2807,2.2028,2.1356,2.0813,2.0298,1.9835,1.9413,,,,,,,,,,,TM_31,2.7092,2.488,2.3773,2.2983,2.2211,2.155,2.111,2.0598,2.0189,1.9842,,,,,,,,,,,TM_40,2.7285,2.4556,2.3343,2.2374,2.1534,2.0789,2.0115,1.9499,1.8926,1.8387,,,,,,,,,,,TM_02,2.7504,2.4934,2.3816,2.3133,2.259,2.2142,2.1602,2.1166,2.0838,2.0491,,,,,,,,,,,,2.7514,2.5096, , ,2.2608,2.2161,2.1763,2.1363,2.105,2.0765,,,,,,,,,,,TM_50,2.7528,2.5235,2.423, , ,2.2239,2.1854,2.1465,2.1173,2.091,,,,,,,,,,,TM_50,2.7741,2.5294,2.4264,2.3621, ,2.2343,2.1967,2.1542,2.1188,2.0927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_30,2.5998,2.5998,2.4029,2.2775,2.1835,2.1161,2.0596,2.0098,1.965,1.9242,1.8808,,,,,,,,,,,TM_22,2.6221,2.4313,2.3092,2.2262,2.1571,2.085,2.0212,1.9773,1.9374,1.9008,,,,,,,,,,,,2.6659,2.461,2.3416,2.2487,2.1878,2.1345,2.0739,2.0191,1.9689,1.9295,,,,,,,,,,,TM_40,2.6869,2.4066,2.2795,2.1765,2.0863,2.0056,1.9322,1.8647,,,,,,,,,,,,,,2.7268,2.4727,2.3774,2.2877,2.2215,2.1721,2.1291,2.0898,2.0462,2.0038,,,,,,,,,,,,2.7318,2.4918,2.379,2.2984,2.2416,2.1941,2.153,2.1121,2.0687,2.0368,,,,,,,,,,,,2.7357,2.5081,2.3958,2.3148,2.2569,2.2108,2.1712,2.1295,2.0873,2.0487,,,,,,,,,,,TM_02,2.7521,2.5119,2.4115,2.3243,2.2689,2.2175,2.1796,2.1432,2.102,2.0645,,,,,,,,,,,TM_41,2.7577,2.515,2.424,2.3377,2.2784, ,2.1808,2.1479,2.1139,2.0772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_03,2.5969,2.5969,2.3767,2.2721,2.1819,2.0973,2.0217,1.9543,1.8938,1.8395,1.8141-2.5990E-5i,,,,,,,,,,,TM_13,2.6185,2.4046,2.3033,2.2118,2.1285,2.0702,2.0205,1.962,1.9083,1.8583,,,,,,,,,,,,2.6526,2.4468,2.3265,2.2462,2.1641,2.1013,2.0524,2.0082,1.9675,1.9222,,,,,,,,,,,,2.6739,2.4576,2.3386,2.2641,2.2047,2.1434,2.0936,2.0395,1.9899,1.9466,,,,,,,,,,,,2.6892,2.4687,2.3531,2.2801,2.2172,2.1682,2.1258,2.0881,2.0444,2.0027,,,,,,,,,,,,2.7011, ,2.3759,2.2895,2.2262,2.1781,2.1366,2.0999,2.0668,2.0286,,,,,,,,,,,,2.7259,2.4945,2.3831,2.3124, ,2.1858,2.1448,2.1088,2.0765,2.047,,,,,,,,,,,,2.7428,2.4954,2.3914,2.3225,2.2621, , ,2.1159,2.0841,2.0552,,,,,,,,,,,TM_02,2.7528,2.5086,2.3992,2.3317,2.2646,2.2187, , ,2.0909,2.0618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
