Wavelength_nm,n_eff_TE00
2.000000000000000000e+02,3.018865807309283777e+00,2.983692263104424036e+00,2.983383502740915016e+00,2.947377959915105539e+00,2.924911699669181075e+00,2.923585668821738981e+00,2.886901197279225784e+00,2.886317936648026716e+00,2.844260636183391089e+00,2.841968429662976359e+00,2.838553593808962550e+00,2.824308407279720878e+00,2.810451273134191297e+00,2.807804377839359322e+00,2.800692684701976187e+00,2.798832329901217442e+00,2.773291395159916739e+00,2.753795557289532514e+00,2.746375368743719569e+00,2.737647122162408131e+00,2.735435207922912504e+00,2.733699770067515633e+00,2.724647874570127914e+00,2.714414239663054396e+00,2.711075833980503447e+00,2.686716498825689747e+00,2.683863210602733140e+00,2.673039831477444395e+00,2.659118076419493715e+00,2.652682169949734270e+00,2.641831534774083501e+00,2.632507528079758963e+00,2.624715038640873299e+00,2.618902356816010801e+00,2.613430444170822931e+00,2.598979117762754587e+00,2.582155729127406651e+00,2.569994649251034158e+00,2.566541444799712579e+00,2.562043270245686788e+00
2.050000000000000000e+02,2.798266955919683774e+00,2.758845781798454411e+00,2.758806104169459594e+00,2.725963427283674800e+00,2.718340432704113852e+00,2.692868672045899192e+00,2.692214816085316098e+00,2.689246976683262513e+00,2.683842669931937319e+00,2.650852741278753033e+00,2.649577839794428513e+00,2.646247294294995722e+00,2.627875538928694521e+00,2.612713378016599641e+00,2.599249205826910547e+00,2.597288664434018290e+00,2.582485591855720575e+00,2.580061143999352158e+00,2.574124931171775987e+00,2.554269197679916115e+00,2.550574880244816711e+00,2.540708172267581055e+00,2.512377993343271498e+00,2.506942097936165847e+00,2.491846548357898872e+00,2.482482688341772548e+00,2.478543929497501352e+00,2.475833171689111101e+00,2.471570404615278882e+00,2.468627977600804879e+00,2.426900266662047390e+00,2.425915357850969123e+00,2.422061653634311362e+00,2.410957424474773791e+00,2.402875944358452198e+00,2.376886151036053718e+00,2.373358233114374993e+00,2.369970748062982135e+00,2.350118801853442907e+00,2.343854505852320358e+00
2.100000000000000000e+02,3.088007779694856847e+00,3.079847976400889475e+00,3.068720360963142824e+00,3.045663994144680142e+00,3.004236569183791339e+00,2.986187750547627751e+00,2.965238956592072483e+00,2.937969385754930496e+00,2.907143613827711803e+00,2.895176621611706302e+00,2.894491477896183884e+00,2.840071370250028426e+00,2.836037506580188161e+00,2.786026244875717595e+00,2.757646625823577669e+00,2.750899235600855697e+00,2.747086457560564021e+00,2.705857047814852478e+00,2.678619789195614498e+00,2.671333241816155279e+00,2.648943029299192453e+00,2.643201200682550489e+00,2.628598184038382968e+00,2.628284332639360343e+00,2.622164767259285156e+00,2.588484425261686095e+00,2.582672754653895453e+00,2.556745512157424294e+00,2.556014308753514541e+00,2.548980861485302452e+00,2.511103801713888473e+00,2.509199094805619978e+00,2.501146733300625424e+00,2.488823024846246401e+00,2.476053436612518865e+00,2.466314521375915003e+00,2.456139154291944404e+00,2.453516453960454147e+00,2.453123033773893180e+00,2.432588693146858549e+00
2.150000000000000000e+02,2.732400545252982038e+00,2.692369383609921396e+00,2.678687756781021889e+00,2.637538816471676206e+00,2.625007006614363370e+00,2.587708494618993438e+00,2.585414234591520088e+00,2.567496707943459633e+00,2.545147311244086552e+00,2.539810115624820952e+00,2.539102876707664880e+00,2.529213035911943575e+00,2.492311724166615061e+00,2.473277339803229946e+00,2.467935242568980669e+00,2.462698039000324357e+00,2.460474767775604032e+00,2.455594916891485013e+00,2.413722684329359325e+00,2.412297555584530517e+00,2.410838606870611578e+00,2.403249710893160085e+00,2.368091968247387324e+00,2.351803046523201601e+00,2.351452826030410836e+00,2.336372455599224018e+00,2.332273218616050858e+00,2.329194975804873557e+00,2.300835394598191641e+00,2.293313424447305238e+00,2.281182263637099972e+00,2.244636101077300161e+00,2.239320259582033845e+00,2.228787938865581797e+00,2.221590371824706089e+00,2.213834415497136554e+00,2.206944271640983946e+00,2.205106679958799720e+00,2.201431587015095559e+00,2.160991349048416943e+00
2.200000000000000000e+02,2.655512469541048137e+00,2.612789856424872159e+00,2.598555292190620758e+00,2.554564776718810215e+00,2.540807797486709596e+00,2.521594113787104519e+00,2.502009478147443566e+00,2.479721061792794057e+00,2.473286068520864411e+00,2.472059312171528855e+00,2.456290672571857403e+00,2.438275017294436520e+00,2.422365930140048196e+00,2.391488140301515575e+00,2.389327254747550811e+00,2.379377363623471631e+00,2.371543135191124030e+00,2.361774252093247206e+00,2.338744922767000745e+00,2.335244045455211470e+00,2.315072120679684264e+00,2.303088824531551726e+00,2.274397366330223491e+00,2.271042826927752500e+00,2.265454371025319436e+00,2.247777287586097295e+00,2.233638308279027651e+00,2.227622159273729530e+00,2.218333142584111517e+00,2.208696749449235330e+00,2.177494236238999736e+00,2.134973668688957993e+00,2.131959280785414634e+00,2.122969797993531582e+00,2.119619604057501938e+00,2.116031565883806476e+00,2.113462327745428304e+00,2.112671493530330569e+00,2.107242673067208472e+00,2.058701346230844109e+00
2.250000000000000000e+02,2.601794193751695072e+00,2.556549650393747264e+00,2.541494420515610031e+00,2.494833077258937326e+00,2.480230582338400325e+00,2.471327852307160011e+00,2.439229148402064062e+00,2.420334513822352651e+00,2.419287017005565588e+00,2.414827628667856718e+00,2.390606427037164305e+00,2.371335262492106910e+00,2.366200694887034217e+00,2.333917707240265926e+00,2.330759726803125265e+00,2.308771432099885335e+00,2.300449708208801347e+00,2.290738133412030919e+00,2.277656258369637143e+00,2.273405796992193917e+00,2.240929229380755228e+00,2.227475987136781299e+00,2.209799544459328580e+00,2.204904776174539283e+00,2.188138259547988795e+00,2.179971128232235156e+00,2.154712249668460977e+00,2.150001696778606419e+00,2.147022000488504112e+00,2.137791133194240967e+00,2.096846304433844121e+00,2.056213611418516329e+00,2.048021948394463720e+00,2.043972090980678225e+00,2.041124767416647057e+00,2.038188428532721197e+00,2.036144605729191870e+00,2.026162169165831362e+00,2.020653660837993471e+00,1.981519892371768954e+00
2.300000000000000000e+02,2.557746317656471202e+00,2.510016209347803340e+00,2.494151556496694955e+00,2.444855740828349777e+00,2.430117919758418843e+00,2.429417630079659940e+00,2.386264284543060388e+00,2.376498386536251228e+00,2.374860181291893468e+00,2.360487067413259865e+00,2.334759717589899086e+00,2.319175050609778577e+00,2.314241508749760090e+00,2.285560511617346968e+00,2.281391514981254698e+00,2.248093680554482887e+00,2.239221703275874553e+00,2.229933473897495855e+00,2.225576201950483668e+00,2.220692315222268842e+00,2.176927217185169461e+00,2.161954507624026522e+00,2.154834852635760800e+00,2.147888292111439501e+00,2.124271758603297311e+00,2.117605039552612922e+00,2.092510804191872076e+00,2.084139847118373190e+00,2.079880116976378535e+00,2.073097262322562973e+00,2.027442954821437215e+00,1.990854860088278944e+00,1.980708930094388753e+00,1.974348287946773972e+00,1.973563780656663047e+00,1.968089147779192194e+00,1.963529681454819986e+00,1.948182131659926819e+00,1.943445997755086418e+00,1.914815547573665233e+00
2.350000000000000000e+02,2.519812196993509890e+00,2.469601777315161062e+00,2.452967919777049310e+00,2.401062559375674699e+00,2.395328777258125541e+00,2.384729174750072733e+00,2.339564206378784039e+00,2.339136385827988995e+00,2.337073304802709472e+00,2.312116127619745942e+00,2.285165466394233125e+00,2.278619301601147562e+00,2.263295460196595776e+00,2.243731983079423120e+00,2.238485088046283877e+00,2.193795951426593227e+00,2.184380115548795409e+00,2.180678369531237060e+00,2.174872959489995594e+00,2.174201038921196538e+00,2.119568784763663505e+00,2.106550344114476836e+00,2.103486050589141509e+00,2.096488229334666276e+00,2.071802709583618007e+00,2.056477235007704074e+00,2.040231102955147868e+00,2.025409141023974069e+00,2.020297594057814727e+00,2.009836336133807855e+00,1.966220684769204530e+00,1.933923531506491322e+00,1.923363794268786231e+00,1.913612593677322282e+00,1.912776501506471272e+00,1.904285719230493834e+00,1.893943800606158190e+00,1.876593851978170191e+00,1.872985244087798096e+00,1.858544310102578923e+00
2.400000000000000000e+02,2.486393417950212292e+00,2.433696218674787914e+00,2.416329353810879876e+00,2.365506905502770429e+00,2.361638172941207259e+00,2.344536535428217494e+00,2.306591460130695825e+00,2.304130556273385366e+00,2.297461574092004799e+00,2.268243795159247345e+00,2.242853758924153063e+00,2.240178981675673864e+00,2.216887403731429007e+00,2.206748951528710201e+00,2.200308606904933129e+00,2.144857309967407311e+00,2.139164040764623298e+00,2.136019269393302888e+00,2.130476868683959246e+00,2.125393142762629139e+00,2.067442097676618129e+00,2.063059940637894663e+00,2.054330676216086449e+00,2.045069483363191054e+00,2.024655106598128196e+00,1.999264790318047824e+00,1.993164455357771203e+00,1.975089893047998535e+00,1.963029135177718709e+00,1.950073715170004274e+00,1.912245902403139741e+00,1.884202419712578624e+00,1.872374903223833931e+00,1.858638437751588768e+00,1.857291460499552738e+00,1.853279200035126362e+00,1.851342575497368692e+00,1.850492748571769708e+00,1.849284991152916113e+00,1.848203461508873158e+00
2.450000000000000000e+02,2.456553518665889779e+00,2.401357423353640108e+00,2.383285404964581300e+00,2.339205292062795483e+00,2.325979216328146748e+00,2.307890463906765000e+00,2.277760261574376166e+00,2.274867783126449883e+00,2.259030595032254229e+00,2.227938860249100372e+00,2.210745905441664938e+00,2.198831060365773027e+00,2.174379255503830155e+00,2.173377559395503145e+00,2.165533335414566274e+00,2.104648589412709825e+00,2.096654088898011192e+00,2.096382185954904553e+00,2.084906450715468207e+00,2.079727797231992081e+00,2.024313914493093058e+00,2.018609692505946462e+00,2.012029468287447553e+00,1.994024093016349974e+00,1.981094316887294760e+00,1.950075465792352469e+00,1.945570409912935839e+00,1.928854714916432567e+00,1.909847471078794934e+00,1.893743968122767685e+00,1.866136483218629349e+00,1.848626803236555149e+00,1.846679449314363897e+00,1.845404733753910564e+00,1.844765716246443255e+00,1.843373780612410862e+00,1.842306004938640163e+00,1.840099614924744165e+00,1.839389907512690048e+00,1.837651245241977982e+00
